valores_reales,predicciones_lr,predicciones_rf
40590.0,43896.84740013204,40128.08
39477.0,68370.8762254465,40091.75
70697.0,25621.50752521126,70513.67
14953.0,98.29331802963861,15415.25
113915.0,54166.956809893716,107710.03
969249.0,1262894.0808646374,895919.42
112088.0,204020.37408824393,116484.18
53031.0,54077.26092488816,52945.34
11181.0,7103.44131119849,11295.86
52027.0,51413.800886067824,52990.88
123231.0,125954.466991667,119185.9
35648.0,32270.467448860174,35982.99
46713.0,28584.582891354163,47630.74
62102.0,303.11427646054653,61856.19
45702.0,35217.20746212182,45108.86
841668.0,251221.11514765362,850618.51
51975.0,72849.68458743257,50838.63
144848.0,38921.72195452399,144606.0
99729.0,18708.040766415477,100178.97
45238.0,36110.72671647163,45434.51
151917.0,224791.64471369464,161592.85
92856.0,15119.643934343476,94427.53
54921.0,65947.98027768967,55018.0
84146.0,113775.43464370552,84747.33
52238.0,135034.6113440732,51606.84
47413.0,69264.28427433295,48163.53
48297.0,138615.0079191391,49974.94
9708465.0,6189218.32462548,5314218.79
32228.0,27294.616445133288,32463.27
58704.0,65571.21290311313,58771.44
59378.0,120503.38439594996,60996.55
71029.0,174348.66003820498,67232.95
58406.0,95622.24552134529,54725.18
194831.0,250355.35567867564,198422.75
28400.0,54867.85297556108,27234.52
101841.0,12604.40846580721,103401.98
17630.0,46741.727153987944,17556.2
7128.0,15229.721323106409,7019.52
72416.0,11112.979741225718,72848.48
60269.0,-13388.562101491145,60620.53
39750.0,4214.173482517712,40864.0
8763.0,-6263.083450779639,7487.29
51807.0,56401.020289412874,53055.82
167140.0,45262.79991814541,167399.71
68621.0,51192.69081600607,68477.41
16217.0,236254.66009452037,15342.03
131151.0,203368.84431913844,137444.17
40859.0,51573.90852276905,40826.04
10238.0,-358.7252459242882,11654.9
18468.0,42070.61864862239,22633.37
130779.0,245835.05235904062,136249.89
21885.0,59702.366070811404,21474.54
1114360.0,831481.0118669095,955968.61
45011.0,62640.18565417832,45479.4
42634.0,80664.52492999434,42985.56
387254.0,509874.14440753486,397249.78
39759.0,38757.595465432736,39673.62
118706.0,209899.0073366542,116513.46
107391.0,153291.79852169656,113543.6
92711.0,98913.15250103048,92765.68
28305.0,58316.11880032421,32285.03
1018958.0,788257.620872649,889627.88
44889.0,35273.88607194042,43757.97
33758.0,62129.532536778686,31219.65
68806.0,155322.25179522444,64828.67
64006.0,49469.61635967571,61516.21
3840.0,-14451.561802845594,4605.13
40649.0,128504.69501841863,45931.95
1039878.0,200859.98225582618,981345.98
18782.0,36960.98157238233,18480.58
55257.0,86834.65778420432,53566.32
78639.0,30569.220894682454,78536.17
22934.0,46956.03600248351,22509.21
47045.0,65223.76736156535,46380.47
58486.0,28762.836187979323,59563.81
29295.0,16993.316731576575,28850.45
78678.0,220640.98443758462,79448.42
81972.0,33873.9881268928,80084.29
69172.0,6849.3604563892295,69599.79
35436.0,20923.99118060415,36032.23
69593.0,11418.552479323203,69926.57
17403.0,11016.074961839273,17103.92
39800.0,43459.13521464402,39671.47
86824.0,65563.9933606014,87241.36
50231.0,27434.446470531228,50283.06
10062.0,-11069.82407947947,11670.63
1823438.0,2460859.669309502,2536587.68
192041.0,227732.40484502853,186488.68
259819.0,172326.8775238386,304429.77
99053.0,9410.22147898018,91420.19
300472.0,684420.5576005072,247541.49
101419.0,114935.9159996822,98910.11
204453.0,361932.54228057584,202031.69
335445.0,87096.02511090128,282432.92
8856.0,3038.23473777296,9637.81
2383612.0,2085882.9834266002,2647944.51
440572.0,575514.5025137014,429324.24
128677.0,321507.2680211739,128480.06
167.0,310182.65350949275,158.09
19871.0,134553.06009211796,41310.6
366373.0,432051.7413382689,365548.45
42284.0,15067.721951777407,42076.63
33389.0,34846.364491228596,33673.23
139134.0,137754.13749263925,144578.3
67771.0,69170.40573380314,69677.32
22299.0,52996.42316513005,24534.35
17928.0,46334.16878912301,17699.75
1492297.0,305266.3305795774,1229937.31
126437.0,160426.57208602535,124163.8
280904.0,227660.21417442875,326689.83
235951.0,228251.87710691025,232866.55
23071.0,36839.43441525099,22836.86
120046.0,8053.587987748731,118539.11
830080.0,1170320.3242142284,790238.22
93293.0,19078.4310818722,92932.82
123203.0,251187.62900165803,121974.14
101830.0,120054.62808013268,96820.39
37449.0,44367.64674046342,38098.52
49066.0,15138.246236317354,48952.49
64564.0,50432.743369146716,61989.3
30561.0,-5367.338632868748,30829.67
56983.0,57192.989874194114,56701.26
36281.0,36832.14169470628,36321.73
18263.0,12607.626653369109,17526.42
49449.0,25546.057862789923,48030.96
21707.0,17534.551701161865,21231.58
46720.0,69453.51024568648,46880.17
112800.0,26760.582431683462,111814.8
69377.0,162873.3139838897,69579.85
118108.0,182810.41504504613,114588.45
106831.0,91420.01595691754,105018.64
119832.0,184794.47783341468,125912.21
28113.0,27325.403708581493,28145.84
18559.0,8958.261534821213,18349.86
81389.0,127490.22956737755,82196.95
37401.0,41392.798600605805,37834.88
35368.0,77237.31451210065,38048.28
82970.0,42324.96561869362,79686.64
106380.0,184807.13985302224,107930.5
50667.0,-5561.562773423793,50751.75
34719.0,69345.11138137418,36487.84
14310.0,194104.56398762058,14325.9
52771.0,61346.83158179984,51368.91
22402.0,8284.642384529376,21974.59
22279.0,38321.998124993814,21833.54
48227.0,26229.710166881123,47812.26
40936.0,47881.61180510078,42505.87
24.0,306031.6699753853,25.31
59556.0,26731.701709891116,60606.81
9496.0,11547.318107945874,9838.22
10581.0,32821.76967596149,10334.76
74864.0,-3981.245906526543,74572.79
116699.0,183720.15863026932,127308.23
2594.0,-31841.005266824417,4102.78
359284.0,486248.3236707796,345680.22
63055.0,154722.76161012263,63906.74
69140.0,172616.58633002924,66770.19
76905.0,6179.381272144034,76707.94
103299.0,120537.37104613744,104844.44
40453.0,69318.1146177013,40444.85
653923.0,696533.4540919526,646436.32
49644.0,126401.18244771213,51136.22
169447.0,202781.67219053503,186063.75
115578.0,309239.3825410141,113805.71
100405.0,27194.242290467606,92625.97
60918.0,56972.660752213065,61285.26
73792.0,124171.54640584372,75546.17
88926.0,117267.73416360638,89472.11
19837.0,12819.747701198125,19923.35
72393.0,162816.8457578181,76174.08
100039.0,176282.86949629334,103091.19
248600.0,253571.80436893975,263582.61
123030.0,154857.75444642128,122036.47
30125.0,48779.422058678494,30241.65
110266.0,77512.91163387659,106817.11
90509.0,5955.039428265009,89352.78
42854.0,60132.181705146504,41461.55
1078026.0,1620666.6578004654,1327792.15
48829.0,66534.00919862007,48923.32
76161.0,15793.847347550764,76607.26
90637.0,245308.77977981497,90304.77
26094.0,17985.27033830239,27228.91
177070.0,237806.87425569477,181014.36
44837.0,2780.6271079734142,44734.37
39607.0,57262.92826697606,39293.25
200379.0,214642.74345262567,201517.17
17622.0,558023.5074458036,17006.5
48966.0,176497.86101917698,49161.26
166772.0,50929.82511543407,170753.08
33865.0,26359.73756659965,33853.92
22750.0,-13935.623878969374,22800.61
141485.0,152342.87720798544,124138.48
50569.0,23518.12150766593,55163.01
830080.0,1198396.9115128736,846780.55
74752.0,118095.07981826935,75038.17
121789.0,203960.5219293998,124102.86
182477.0,30469.021331698023,174390.44
96020.0,169769.3833519194,100928.17
3591628.0,280335.7945807063,3270233.44
27830.0,9930.150531819352,27801.12
33666.0,80155.81443265633,35864.35
87216.0,98894.62859313673,86039.63
2643858.0,2980150.537421939,2655151.92
39372.0,43336.83025376938,40338.42
84409.0,201687.57974744315,91482.94
57552.0,144726.85912693507,58704.01
155317.0,174535.7095979369,153807.33
152464.0,248925.07751568864,146930.55
56.0,305635.8753254488,74.48
48457.0,42194.95517816977,49158.97
37280.0,22212.86968118223,38075.27
54856.0,63022.66654637395,55034.69
46639.0,108983.95317605887,46918.1
3080819.0,324161.1077734987,3051985.55
32842.0,18071.959506822022,31977.96
76161.0,64197.09927395184,76752.19
45148.0,50319.3428211454,45386.99
136075.0,178511.89371642668,133221.84
194261.0,271363.74948128406,186376.79
2298483.0,2049054.965795584,2663007.2
155360.0,192164.75226811177,166923.35
40712.0,34597.88734078605,40900.96
150471.0,48448.57125413223,150036.75
137893.0,222840.31536207776,137843.5
224608.0,581677.0263041275,268860.16
363489.0,106958.42298698881,415918.2
142200.0,51665.86044700837,140914.44
20564.0,39812.118945477705,22825.15
18163.0,-8730.929549441993,17699.08
119425.0,293376.9797822841,115142.76
50.0,322884.69011535955,60.81
70177.0,-7552.805546902615,70446.46
43465.0,23910.394608457427,45303.56
10793.0,5358.750354597229,11530.93
93298.0,279020.60025318136,93631.0
27305.0,10488.703953539283,27419.38
50796.0,64354.530917471304,51166.34
15873.0,10199.479937065364,15870.89
58749.0,9729.944634442247,59975.64
101399.0,133923.43060790328,99290.92
29056.0,48162.67357049731,29048.36
60708.0,74041.67317093836,60553.86
34435.0,35964.58751100875,35218.81
71159.0,85169.53849161591,70040.39
2388001.0,2717390.955825322,2638625.07
1.0,542541.7120032227,1397.14
10118.0,33313.61564746211,10094.25
8414.0,15538.685005794454,8516.85
22792.0,15097.627533056337,23358.64
111182.0,284523.9729833115,107962.88
51265.0,46692.44566605188,51890.77
63768.0,53694.45792871204,61433.68
32860.0,153292.27404447072,44070.75
108451.0,-10803.896083842701,115388.1
41937.0,214126.46956343876,58586.77
67122.0,-7710.191984998673,66947.24
116415.0,143976.15755191696,114580.69
133958.0,326413.5006771161,145041.2
34670.0,94297.01231932748,35437.23
29513.0,238.0291580889898,30815.49
9417.0,7257.787347588659,9688.99
82823.0,-33454.488797784055,82155.85
42671.0,165267.7218011564,42246.4
380411.0,533154.1343253334,403084.56
26578.0,14860.2438294827,25104.63
67563.0,171273.09722400698,68770.2
39540.0,28825.378436973435,39718.33
47159.0,42643.59444444286,47850.47
45135.0,57798.624706367875,45249.72
60704.0,73793.56219406973,61145.23
56258.0,62525.296829798084,56352.0
26017.0,6499.387857091002,25588.48
2976.0,-29899.432411690737,12905.46
701096.0,194306.26789005077,588744.91
182100.0,213347.05451407452,176293.76
171797.0,240510.5078473061,156345.21
43832.0,21147.371106744948,43004.08
36725.0,52234.509082565026,37543.76
194261.0,249728.51524688437,185229.15
21276.0,34412.466882719105,21464.71
131.0,319905.66967237403,105.45
17399.0,22774.164833630784,18858.28
2643859.0,2768824.7548615155,2532885.94
119974.0,324097.4605364114,119545.38
20572.0,30019.56320659202,20084.35
71022.0,114333.67362486456,70610.6
20040.0,-19074.030541958346,21146.81
46077.0,85380.83978001843,47823.43
76895.0,166315.3549666269,84220.55
36070.0,74090.43928039793,36243.37
94269.0,81852.73990870797,95397.45
21796.0,-7581.681526510802,21607.2
16786.0,223143.99689491637,16581.12
87932.0,350261.5450446219,94528.96
167421.0,2827.0431398077053,163161.41
182440.0,189334.94899065356,184883.0
82382.0,98975.49092128426,84143.98
172173.0,57817.36504583043,173582.15
39560.0,33057.761673215806,38941.59
19589.0,-11926.559152764064,20196.0
92407.0,222613.88695335243,95194.93
743854.0,184389.53686127442,752668.5
70322.0,111820.37361452085,71550.02
46282.0,23372.14963646306,44606.28
55739.0,157733.14357071038,53547.3
3612857.0,281987.7731355757,3239629.08
51536.0,66407.68259895538,50064.54
69515.0,377.4084564797231,69813.21
31592.0,45454.8127364424,31288.68
36755.0,589517.0576312011,205433.22
58632.0,46442.12836821581,58537.29
200023.0,262537.4556679914,197321.66
27211.0,-5865.660057661968,26553.14
49193.0,42262.88498413001,49128.83
14499.0,-24053.129595039092,14771.12
1.0,434218.6124351942,3133.24
58128.0,80552.08617546316,60634.26
96344.0,220761.06803217117,89492.9
78906.0,85500.76152639554,79546.69
90559.0,9408.403685883997,90052.15
6772.0,-2843.769160362077,7101.77
42122.0,42551.581275835924,42283.29
42196.0,78580.9509986125,42220.42
50007.0,184366.75117885342,53093.98
51978.0,76405.35556796342,50807.12
67786.0,21538.56953169452,67460.63
18828.0,61091.55067980563,18998.33
16506.0,21049.903891394788,19006.5
40569.0,34025.86963811488,40864.88
37884.0,99571.96441636051,37492.09
15946.0,40737.91412590313,15035.69
4.0,310810.1702411307,25.92
3423512.0,4237902.546558291,3504445.65
44119.0,141947.17586675307,45012.72
41185.0,61122.21777202541,40957.77
93147.0,113878.8512686531,93033.49
38372.0,70328.26757256553,41120.86
101315.0,25420.923476787866,102272.15
70473.0,590727.0449072828,76202.06
1755628.0,1580065.1139451168,1891358.25
91465.0,109632.37403245528,83898.77
102480.0,27058.388232449623,103051.65
11.0,318844.034598709,16.9
228960.0,345003.9929837448,205276.54
48786.0,6619.727217616193,47719.4
80710.0,143315.73881744602,80858.31
57979.0,83316.34540173391,56091.06
33512.0,41153.14157649962,34253.34
211755.0,428083.94027227105,219009.33
52364.0,119209.39772677157,52393.19
78912.0,11604.307659272949,78190.96
81898.0,120446.96931987388,81626.7
65808.0,55915.12221042623,66175.79
65486.0,153406.16342193534,63903.32
45045.0,54678.04593584576,45463.53
49105.0,94517.79748611813,48639.95
103824.0,135300.6088037262,104760.72
21192.0,11948.693138181668,20640.43
111280.0,311774.91607723833,112880.09
2865273.0,3695219.2804188733,3085402.35
87196.0,77587.56757980827,87770.54
123203.0,340579.28291597136,126466.93
14046.0,12381.05300341046,14973.93
59083.0,66676.9461166833,57996.54
60762.0,98868.89745986748,60609.21
95249.0,-657.0928506210912,96125.85
27000.0,55641.80763750966,26477.52
33250.0,74894.52785886396,34635.22
54804.0,79563.33348438772,55746.44
6697806.0,4038761.951664573,5710277.02
7637.0,16569.270370200305,7255.42
44373.0,73738.25903722201,44027.18
18336.0,18075.452372054016,18829.01
35301.0,38338.88658413099,35452.84
42452.0,99376.39177228714,44352.74
1062674.0,1194682.707228021,999377.65
27758.0,47886.00929787793,27161.78
340944.0,241574.61380427217,302737.01
51759.0,32721.477342014172,52237.84
68823.0,-6201.1446772157215,68594.0
36091.0,15265.031148176116,36383.26
23647.0,19002.086276300717,23319.21
51543.0,44760.801705850725,50958.28
33940.0,41129.15384480948,33995.64
97377.0,25312.51511015836,97947.48
249648.0,289292.0309248872,240091.72
29752.0,70028.82591515002,30632.83
37489.0,26808.98485259281,37366.6
105485.0,161693.318853548,106800.19
68110.0,20612.643743375025,71361.18
46761.0,50150.93882884586,47730.72
33994.0,-9625.692265726626,34490.24
114727.0,250221.08297099656,114606.91
110641.0,104883.51474096534,108425.7
100205.0,126442.71285138042,102899.08
70.0,320310.21641027404,180.81
997575.0,778481.3720217803,893988.44
16748.0,200510.53279899526,16627.45
82.0,305488.67787638074,87.96
52024.0,48816.837969348795,51919.34
32368.0,106274.59337208839,34491.0
1.0,530426.0468217208,1068.8
93470.0,142711.7508132927,93019.68
3063350.0,3177967.742326363,2804574.01
12502.0,9738.027278457565,12383.55
48767.0,47543.135997022415,48999.58
74925.0,97523.15795011907,76127.04
161007.0,22653.381031854748,160183.7
1.0,568511.5129696745,695.63
150126.0,372011.28922363627,140233.08
139034.0,227888.89000365578,140209.03
45458.0,102738.189832264,45878.98
44125.0,168733.51637912163,44714.89
3909667.0,234134.53965560792,3824512.54
9704.0,48834.291399859445,9948.03
36609.0,29036.07136877539,37694.96
17803.0,28214.268041596806,17668.46
1.0,-3504.745343890798,191.0
27798.0,54449.62850789848,27925.34
1852845.0,1508175.8016595813,1860405.77
82409.0,108336.84193484404,83077.97
27145.0,55053.99469585615,28507.78
974518.0,225324.31848798314,967277.85
14662.0,68535.93472874255,21150.04
17613.0,561522.7407534202,16859.6
946823.0,291603.8605710141,882968.58
2326.0,81083.61494256617,20420.33
104369.0,166562.21168406264,105596.41
85416.0,237851.36562742083,85945.4
35999.0,112589.04643787596,38945.43
21619.0,31143.997347498895,21003.25
14788.0,-12394.375152334542,14509.2
26299.0,17826.53442106623,26347.35
35595.0,51086.85292554926,35318.85
26951.0,126873.92902865434,26456.85
46639.0,98941.20315378557,46249.7
86034.0,-1872.676594882476,85642.11
35463.0,93345.18632597348,34448.96
65560.0,94158.80927755489,65911.74
1339212.0,1280730.4257637975,1635187.57
2767416.0,3619477.0277887504,2982458.06
43911.0,73201.43440441453,44480.35
29358.0,18178.04027872774,32183.51
49811.0,8170.039856588206,49263.7
77673.0,103664.89664857704,78945.79
118562.0,219336.19267313404,116677.86
21809.0,84313.68214684149,24933.1
2252655.0,1938480.7532598982,2396348.69
62377.0,1282.5732580210606,63588.39
570782.0,260264.26763420954,539436.08
13834.0,23749.402983271488,13148.27
31422.0,69788.26196057774,32054.74
120468.0,146118.82148810342,116305.32
33968.0,35946.53691689359,33972.38
57294.0,47150.19516913776,56588.85
766033.0,771534.7729932788,727731.81
26729.0,36324.582186625805,28077.39
58311.0,52025.149613115325,58174.87
63.0,320651.16300822573,42.31
44386.0,52042.894511212944,44957.04
29123.0,71651.61995239157,29001.44
362385.0,90943.4159318108,470727.64
107484.0,112507.5655256082,105937.97
45204.0,63373.580251797626,46452.56
48362.0,-13089.170460062276,46715.63
232572.0,235579.63358966773,223605.06
69573.0,101757.59334918391,67795.39
29240.0,19490.90529792497,29152.31
52249.0,35702.70747095632,52001.47
42167.0,31369.165654286102,42500.94
1043251.0,1594274.0080907242,1331315.46
184986.0,228889.6710044862,194559.18
83686.0,79494.25264560452,84145.7
38585.0,47837.11543167653,38976.95
55312.0,100579.60719741885,55022.0
22617.0,14321.701741582248,22226.16
40249.0,44585.58728037102,40729.25
969249.0,1241351.0134485322,910762.13
367539.0,142737.166020033,368402.86
37553.0,70973.28703515252,40366.9
30321.0,58359.46605352181,29990.31
26864.0,41690.030486690055,27616.92
506.0,-10292.270793706557,376.85
137279.0,42669.96379938134,136760.8
72554.0,164730.95129514995,74593.61
35070.0,18852.27453362741,34853.84
110941.0,104017.20041422549,108603.43
745179.0,1227620.8556396882,783050.15
2960670.0,2966625.303661187,2752775.63
67440.0,148047.96294916765,64136.15
54478.0,3401.6351934064005,54054.9
111255.0,224938.304442124,117114.85
21346.0,51983.662686588505,21468.42
20885.0,1182.0855362602742,21245.56
46289.0,60322.32157344182,46277.94
53482.0,54527.588215098745,53669.31
22087.0,7029.930568009062,22208.32
29008.0,28474.62225873,29209.53
52295.0,38208.33257510932,52095.23
107998.0,131904.69466585756,107459.95
74876.0,87654.42737462887,75399.59
60344.0,41092.79222928916,55824.92
5941.0,-1580.257396457484,6190.96
42899.0,53183.5735441873,42254.11
23.0,321467.2816042852,41.49
57415.0,27497.81057273157,56248.96
35125.0,49719.22252152668,34387.78
26869.0,48901.746503583185,27206.75
38501.0,214875.12679985337,38286.26
62835.0,5351.516078433604,62634.18
578747.0,758718.0079105535,620053.26
27060.0,17522.215961864946,27120.3
257.0,-5632.1448403287795,613.8
52097.0,61946.35216503902,52274.6
118265.0,30756.933879776538,118652.05
23840.0,44525.15438983729,23879.51
94061.0,188484.04784581254,92534.98
31622.0,-21316.18799423208,29895.54
86486.0,211195.58293160427,89985.45
112540.0,94112.70641351774,110809.41
169796.0,167241.59852098394,179149.35
52236.0,53553.928314951394,50705.27
962.0,-13131.746105511324,3184.73
10223.0,-160.8184144551342,10860.18
396442.0,292317.15993749176,289831.96
23276.0,35001.33187531569,22854.67
82985.0,122212.40405909567,82358.43
64762.0,15184.864848263562,64547.23
96414.0,197812.7365134062,104029.35
1492297.0,299779.88280630985,1320018.06
30723.0,45595.734111007216,30909.35
541298.0,807179.2046482267,596601.83
64790.0,96259.65952513844,64320.14
37052.0,28249.11524174729,36967.37
21567.0,23329.828929174953,21396.46
58559.0,15368.477259207808,58302.54
78040.0,81011.85971677,76825.05
44445.0,-35180.93912081211,44821.31
22355.0,221200.48967770656,22365.57
48996.0,45491.1067921386,48225.02
20405.0,41503.44353976895,20888.63
151896.0,36003.980655179475,150533.08
830080.0,1257410.1829580448,804627.15
102948.0,244383.71401676617,100466.13
